,site_id,survey_date,year,month,is_october,total_count,morning_count,evening_count,cluster,latitude,longitude
0,2,2010-03-01,2010,March,0,140,41,99,0,-33.8782857820077,151.20860123036
1,2,2010-10-01,2010,October,1,84,44,40,0,-33.8782857820077,151.20860123036
2,2,2011-03-01,2011,March,0,106,53,53,0,-33.8782857820077,151.20860123036
3,2,2011-10-01,2011,October,1,243,124,119,0,-33.8782857820077,151.20860123036
4,2,2012-03-01,2012,March,0,299,63,236,0,-33.8782857820077,151.20860123036
5,2,2012-10-01,2012,October,1,364,142,222,0,-33.8782857820077,151.20860123036
6,2,2013-03-01,2013,March,0,316,113,203,0,-33.8782857820077,151.20860123036
7,2,2013-10-01,2013,October,1,318,97,221,0,-33.8782857820077,151.20860123036
8,2,2014-03-01,2014,March,0,242,83,159,0,-33.8782857820077,151.20860123036
9,2,2014-10-01,2014,October,1,301,95,206,0,-33.8782857820077,151.20860123036
10,2,2015-03-01,2015,March,0,269,96,173,0,-33.8782857820077,151.20860123036
11,2,2015-10-01,2015,October,1,447,179,268,0,-33.8782857820077,151.20860123036
12,2,2016-03-01,2016,March,0,407,171,236,0,-33.8782857820077,151.20860123036
13,2,2016-10-01,2016,October,1,603,253,350,0,-33.8782857820077,151.20860123036
14,2,2017-03-01,2017,March,0,662,236,426,0,-33.8782857820077,151.20860123036
15,2,2017-10-01,2017,October,1,695,257,438,0,-33.8782857820077,151.20860123036
16,2,2018-10-01,2018,October,1,752,266,486,0,-33.8782857820077,151.20860123036
17,2,2019-03-01,2019,March,0,712,301,411,0,-33.8782857820077,151.20860123036
18,2,2019-10-01,2019,October,1,832,314,518,0,-33.8782857820077,151.20860123036
19,2,2020-03-01,2020,March,0,543,174,369,0,-33.8782857820077,151.20860123036
20,2,2020-10-01,2020,October,1,728,263,465,0,-33.8782857820077,151.20860123036
21,2,2021-03-01,2021,March,0,667,222,445,0,-33.8782857820077,151.20860123036
22,2,2021-10-01,2021,October,1,566,207,359,0,-33.8782857820077,151.20860123036
23,2,2022-03-01,2022,March,0,560,274,286,0,-33.8782857820077,151.20860123036
24,2,2022-10-01,2022,October,1,727,305,422,0,-33.8782857820077,151.20860123036
25,2,2023-03-01,2023,March,0,769,301,468,0,-33.8782857820077,151.20860123036
26,2,2023-10-01,2023,October,1,952,369,583,0,-33.8782857820077,151.20860123036
27,2,2024-03-01,2024,March,0,907,320,587,0,-33.8782857820077,151.20860123036
28,2,2024-10-01,2024,October,1,758,263,495,0,-33.8782857820077,151.20860123036
29,2,2025-03-01,2025,March,0,1032,350,682,0,-33.8782857820077,151.20860123036
30,2,2025-10-01,2025,October,1,897,309,588,0,-33.8782857820077,151.20860123036
31,4,2010-03-01,2010,March,0,542,301,241,1,-33.8732920555973,151.209897088493
32,4,2010-10-01,2010,October,1,472,246,226,1,-33.8732920555973,151.209897088493
33,4,2011-03-01,2011,March,0,905,452,453,1,-33.8732920555973,151.209897088493
34,4,2011-10-01,2011,October,1,696,350,346,1,-33.8732920555973,151.209897088493
35,4,2012-03-01,2012,March,0,912,390,522,1,-33.8732920555973,151.209897088493
36,4,2012-10-01,2012,October,1,1102,544,558,1,-33.8732920555973,151.209897088493
37,4,2013-03-01,2013,March,0,1091,574,517,1,-33.8732920555973,151.209897088493
38,4,2013-10-01,2013,October,1,979,531,448,1,-33.8732920555973,151.209897088493
39,4,2014-03-01,2014,March,0,1081,572,509,1,-33.8732920555973,151.209897088493
40,4,2014-10-01,2014,October,1,753,447,306,1,-33.8732920555973,151.209897088493
41,4,2015-03-01,2015,March,0,868,518,350,1,-33.8732920555973,151.209897088493
42,4,2015-10-01,2015,October,1,775,395,380,1,-33.8732920555973,151.209897088493
