site_id,cluster,survey_date,year,month,total_count,lag_1_total,lag_2_total,is_october,y_true,huber_pred,cluster_mean_actual,actual_dev_pct,huber_pred_dev_pct,obs_id
2,0,2023-03-01,2023,March,769,727,560,0,769,679.6405932634872,557.0231481481482,38.055303905516254,22.01298914111325,0
2,0,2023-10-01,2023,October,952,769,727,1,952,752.5584187452599,557.0231481481482,70.90851666846747,35.10361665348716,1
2,0,2024-03-01,2024,March,907,952,769,0,907,892.5377557431361,557.0231481481482,62.82985779233192,60.23351250489739,2
2,0,2024-10-01,2024,October,758,907,952,1,758,909.5449021744158,557.0231481481482,36.08052062468312,63.28673327100394,3
2,0,2025-03-01,2025,March,1032,758,907,0,1032,795.7755817126873,557.0231481481482,85.27057689270843,42.86221036922502,4
2,0,2025-10-01,2025,October,897,1032,758,1,897,943.2263807299838,557.0231481481482,61.03460026430181,69.3334260642108,5
23,0,2023-03-01,2023,March,420,452,103,0,420,364.4509268723125,557.0231481481482,-24.599183822734936,-34.571672993492605,6
23,0,2023-10-01,2023,October,582,420,452,1,582,435.74760563481976,557.0231481481482,4.483988131353001,-21.772083066298975,7
23,0,2024-03-01,2024,March,553,582,420,0,553,540.9913900091342,557.0231481481482,-0.7222586999343417,-2.8781134486623006,8
23,0,2024-10-01,2024,October,533,553,582,1,533,563.3550909555357,557.0231481481482,-4.312773755994581,1.136746799201882,9
23,0,2025-03-01,2025,March,652,533,553,0,652,543.3240970249661,557.0231481481482,17.050790827563844,-2.4593324655762028,10
23,0,2025-10-01,2025,October,569,652,533,1,569,618.5775854917548,557.0231481481482,2.150153344913841,11.050606702476816,11
26,0,2023-03-01,2023,March,442,437,102,0,442,353.7858463890099,557.0231481481482,-20.649617261068677,-36.48632959596222,12
26,0,2023-10-01,2023,October,606,442,437,1,606,446.89780754578135,557.0231481481482,8.792606198625297,-19.770334674328005,13
26,0,2024-03-01,2024,March,585,606,442,0,585,563.6204027344505,557.0231481481482,5.022565389762046,1.1843770960390465,14
26,0,2024-10-01,2024,October,548,585,606,1,548,592.0722363011779,557.0231481481482,-1.6198874639493988,6.292213935731805,15
26,0,2025-03-01,2025,March,712,548,585,0,712,562.4456188079256,557.0231481481482,27.822335995744574,0.9734731272487807,16
26,0,2025-10-01,2025,October,630,712,548,1,630,664.2385801441982,557.0231481481482,13.101224265897592,19.24793114119103,17
27,0,2023-03-01,2023,March,174,116,129,0,174,138.75608401096014,557.0231481481482,-68.7625190122759,-75.0897095619344,18
27,0,2023-10-01,2023,October,138,174,116,1,138,173.65710379348604,557.0231481481482,-75.22544611318433,-68.82407771188362,19
27,0,2024-03-01,2024,March,161,138,174,0,161,166.27359166319292,557.0231481481482,-71.09635379871506,-70.14960828540467,20
27,0,2024-10-01,2024,October,129,161,138,1,129,170.65179611824163,557.0231481481482,-76.84117788841145,-69.36360783468653,21
